hhid14,n_members,n_adults,n_outmig_adults,amount_given_total,amount_received_total,log_received_total,ethnic_modal,ethnic_share_modal,has_minang,has_batak,has_java,nelm_d1_deployment,nelm_d2_remittance,non_nuclear_adults,nelm_d3_extended_ratio,expenditure_total_monthly,log_exp_monthly,expenditure_pcm,log_exp_pcm,urban_rural,prov_bps,kab_bps,urban
0274300,20,15,0,2000000.0,500000.0,13.122365377402328,9.0,1.0,True,False,False,0.0,13.122365377402328,13,0.65,1974200.0,14.49567431750009,98710.0,11.499951668046466,1.0,13.0,10.0,1
0274311,11,6,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,4,0.36363636363636365,,,,,1.0,13.0,10.0,1
0274331,6,6,0,100000.0,0.0,0.0,1.0,0.8333333333333334,True,False,True,0.0,0.0,4,0.6666666666666666,4868590.0,15.398315130815048,811431.6666666666,13.606556688577642,2.0,13.0,10.0,0
0274341,8,6,0,100000.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,4,0.5,3891866.6666666665,15.174399720339641,486483.3333333333,13.094959977280494,1.0,13.0,10.0,1
0274351,2,0,0,0.0,0.0,0.0,9.0,1.0,True,False,False,,0.0,0,0.0,2057128.3333333333,14.536822041395233,1028564.1666666666,13.843675346949476,1.0,13.0,10.0,1
0274400,7,5,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,3,0.42857142857142855,3179926.6666666665,14.972369008166421,454275.23809523805,13.026460745944698,1.0,13.0,10.0,1
0274451,1,0,0,0.0,0.0,0.0,9.0,1.0,True,False,False,,0.0,0,0.0,1474601.6666666667,14.20389913293607,1474601.6666666667,14.20389913293607,1.0,13.0,10.0,1
0280100,10,9,1,2500000.0,3200000.0,14.978661680269907,9.0,1.0,True,False,False,0.1111111111111111,14.978661680269907,7,0.7,10141950.0,16.132190943931228,1014195.0,13.829606738340011,2.0,13.0,4.0,0
0280131,5,3,0,500000.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,1,0.2,6479736.666666667,15.684190583969881,1295947.3333333335,14.074753288844533,1.0,13.0,4.0,1
0280200,7,4,1,0.0,0.0,0.0,9.0,1.0,True,False,False,0.25,0.0,2,0.2857142857142857,4389200.0,15.294657763930706,627028.5714285715,13.348748981865855,2.0,13.0,4.0,0
0280300,10,7,1,4000000.0,1000000.0,13.815511557963774,9.0,1.0,True,False,False,0.14285714285714285,13.815511557963774,5,0.5,5346121.666666667,15.491882120922185,534612.1666666667,13.189298711389778,2.0,13.0,4.0,0
0280331,8,6,0,100000.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,4,0.5,,,,,2.0,13.0,4.0,0
0280342,3,1,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,0,0.0,3336238.3333333335,15.020354782493312,1112079.4444444445,13.921743093302398,2.0,13.0,4.0,0
0280352,1,0,0,0.0,0.0,0.0,9.0,1.0,True,False,False,,0.0,0,0.0,6455423.333333333,15.680431317256948,6455423.333333333,15.680431317256948,2.0,13.0,4.0,0
0280400,11,9,2,600000.0,2220000.0,14.613018204298811,9.0,1.0,True,False,False,0.2222222222222222,14.613018204298811,7,0.6363636363636364,1562558.3333333333,14.261835633205058,142050.75757575757,11.86394676014319,2.0,13.0,4.0,0
0280441,1,1,0,0.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,0,0.0,1646163.3333333333,14.31395849322676,1646163.3333333333,14.31395849322676,2.0,13.0,4.0,0
0280500,13,9,0,3300000.0,1050000.0,13.864301674514206,9.0,1.0,True,False,False,0.0,13.864301674514206,7,0.5384615384615384,16471631.666666666,16.61715022697162,1267048.5897435897,14.05220159803505,2.0,13.0,4.0,0
0280532,7,3,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,1,0.14285714285714285,4446646.666666667,15.307661036910945,635235.2380952381,13.361752237185824,2.0,13.0,4.0,0
0280533,4,2,0,100000.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,0,0.0,2869523.3333333335,14.869656836485307,717380.8333333334,13.48336352083431,2.0,13.0,4.0,0
0280541,4,1,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,0,0.0,3285590.0,15.005057102395021,821397.5,13.618763654352453,2.0,13.0,4.0,0
0280600,4,4,0,0.0,500000.0,13.122365377402328,9.0,1.0,True,False,False,0.0,13.122365377402328,2,0.5,3201716.6666666665,14.979197994593356,800429.1666666666,13.592904570470074,2.0,13.0,4.0,0
0280700,8,8,3,2800000.0,3500000.0,15.068273812173887,9.0,1.0,True,False,False,0.375,15.068273812173887,6,0.75,2225028.3333333335,14.615280657016175,278128.5416666667,12.535842261357331,2.0,13.0,4.0,0
0280731,2,1,1,0.0,500000.0,13.122365377402328,9.0,1.0,True,False,False,1.0,13.122365377402328,0,0.0,14581190.0,16.495242968451365,7290595.0,15.802095856472919,1.0,21.0,71.0,1
0280800,5,5,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,3,0.6,915386.6666666666,13.727102933947998,183077.3333333333,12.117669391237685,2.0,13.0,4.0,0
0280900,6,4,0,0.0,500000.0,13.122365377402328,9.0,1.0,True,False,False,0.0,13.122365377402328,2,0.3333333333333333,3693193.3333333335,15.122002314528013,615532.2222222222,13.330244199140607,2.0,13.0,4.0,0
0280941,1,1,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,0,0.0,1689666.6666666667,14.34004242061891,1689666.6666666667,14.34004242061891,2.0,13.0,4.0,0
0281000,7,6,0,560000.0,130000.0,11.775297421715827,9.0,1.0,True,False,False,0.0,11.775297421715827,4,0.5714285714285714,856691.6666666666,13.660834517937287,122384.5238095238,11.714931372535936,2.0,13.0,4.0,0
0281031,10,5,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,3,0.3,,,,,2.0,13.0,4.0,0
0281041,1,0,0,0.0,0.0,0.0,9.0,1.0,True,False,False,,0.0,0,0.0,8282525.0,15.929658552300069,8282525.0,15.929658552300069,2.0,13.0,4.0,0
0281042,3,1,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,0,0.0,4920528.333333333,15.40892667075719,1640176.111111111,14.310314788549332,1.0,13.0,4.0,1
0281053,3,2,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,0,0.0,4995090.0,15.42396618811706,1665030.0,14.325354299841976,2.0,13.0,4.0,0
0281200,10,9,0,300000.0,0.0,0.0,9.0,0.9,True,False,False,0.0,0.0,7,0.7,8623896.666666666,15.970047705950432,862389.6666666666,13.667463656567483,2.0,13.0,4.0,0
0281241,2,0,0,0.0,0.0,0.0,9.0,1.0,True,False,False,,0.0,0,0.0,6868196.666666667,15.742412281404603,3434098.3333333335,15.049265246443252,2.0,13.0,4.0,0
0281251,3,1,1,0.0,0.0,0.0,9.0,0.6666666666666666,True,True,False,1.0,0.0,0,0.0,3231633.3333333335,14.98849855278343,1077211.1111111112,13.88988688299703,2.0,13.0,4.0,0
0281252,7,3,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,1,0.14285714285714285,1744020.0,14.37170392466297,249145.7142857143,12.425797215927286,2.0,13.0,4.0,0
