hhid14,pidlink,ar02b,ar07,ar09,ar15,ar15d,ar16,ar17,out_migrated,mg01c,kab_bps,prov_bps,urban_rural,amount_given,amount_received,log_amount_received,out_mig_bin,is_male,is_female,male_outmig,female_outmig,ethnic_label
0561841,056184103,1.0,1.0,36.0,1.0,1.0,5.0,7.0,0.0,71.0,71.0,31.0,1.0,0.0,0.0,0.0,False,True,False,False,False,Java
0561900,056190001,1.0,1.0,56.0,1.0,9.0,5.0,7.0,0.0,,2.0,18.0,1.0,100000.0,0.0,0.0,False,True,False,False,False,Minang
0561900,056190002,2.0,3.0,47.0,1.0,25.0,6.0,7.0,0.0,,2.0,18.0,1.0,0.0,0.0,0.0,False,False,True,False,False,Minang
0570400,057040001,1.0,1.0,57.0,1.0,1.0,74.0,7.0,0.0,,3.0,18.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Java
0570400,057040002,2.0,3.0,50.0,1.0,2.0,2.0,7.0,0.0,,3.0,18.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Java
0570400,057040003,3.0,1.0,32.0,1.0,1.0,6.0,7.0,0.0,,72.0,36.0,1.0,0.0,0.0,0.0,False,True,False,False,False,Java
0570400,057040004,3.0,3.0,31.0,1.0,1.0,6.0,7.0,0.0,3.0,3.0,18.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Java
0570400,057040005,3.0,1.0,21.0,1.0,1.0,5.0,7.0,1.0,3.0,72.0,36.0,1.0,250000.0,0.0,0.0,True,True,False,True,False,Java
0570400,057040006,3.0,1.0,17.0,1.0,1.0,74.0,2.0,0.0,3.0,3.0,18.0,2.0,0.0,5000.0,8.517393171418904,False,True,False,False,False,Java
0570400,057040008,5.0,1.0,38.0,1.0,2.0,3.0,7.0,0.0,3.0,3.0,18.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Java
0570541,057054101,1.0,1.0,38.0,1.0,1.0,2.0,7.0,1.0,9.0,3.0,36.0,1.0,0.0,0.0,0.0,True,True,False,True,False,Java
0570642,057064201,1.0,1.0,59.0,1.0,1.0,2.0,7.0,0.0,3.0,3.0,18.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Java
0570731,057073102,2.0,3.0,31.0,1.0,1.0,74.0,7.0,0.0,,73.0,36.0,1.0,0.0,0.0,0.0,False,False,True,False,False,Java
0571051,057105101,1.0,1.0,25.0,1.0,1.0,3.0,7.0,1.0,12.0,3.0,36.0,1.0,0.0,0.0,0.0,True,True,False,True,False,Java
0571400,057140003,2.0,3.0,43.0,1.0,1.0,73.0,7.0,0.0,,3.0,18.0,2.0,200000.0,0.0,0.0,False,False,True,False,False,Java
0571400,057140007,1.0,1.0,52.0,1.0,1.0,2.0,98.0,1.0,4.0,3.0,18.0,2.0,0.0,0.0,0.0,True,True,False,True,False,Java
0571500,057150001,1.0,1.0,65.0,1.0,1.0,2.0,7.0,0.0,,3.0,18.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Java
0571500,057150002,2.0,3.0,43.0,1.0,9.0,2.0,4.0,0.0,,3.0,18.0,2.0,0.0,50000.0,10.819798284210286,False,False,True,False,False,Java
0571500,057150004,3.0,1.0,20.0,1.0,1.0,2.0,7.0,1.0,3.0,4.0,36.0,2.0,0.0,0.0,0.0,True,True,False,True,False,Java
