hhid14,ethnic_label,n_adults,n_outmig_adults,nelm_d1_deployment,n_adults_in_ind,n_outmig_in_ind,n_male_out,n_female_out,D1_male,D1_female,D1_total_computed
0062041,Java,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0070141,Batak,3,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0070200,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0070300,Batak,5,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0070331,Batak,3,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0070351,Batak,1,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
0070400,Batak,6,0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
0070451,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0070500,Batak,4,1,0.25,4.0,1.0,0.0,1.0,0.0,0.25,0.25
0070600,Batak,6,1,0.1666666666666666,6.0,1.0,1.0,0.0,0.16666666666666666,0.0,0.16666666666666666
0070641,Batak,2,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0070642,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0070700,Batak,3,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0070721,Java,2,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0070800,Java,5,1,0.2,5.0,1.0,1.0,0.0,0.2,0.0,0.2
0070851,Java,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0070900,Batak,5,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0070921,Batak,3,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0070922,Batak,3,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0071000,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0071100,Batak,3,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0071200,Batak,4,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0071300,Batak,5,1,0.2,5.0,1.0,0.0,1.0,0.0,0.2,0.2
0071331,Batak,5,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0071351,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0071400,Batak,5,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0071411,Batak,4,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0071431,Batak,9,0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
0071500,Batak,5,2,0.4,5.0,2.0,0.0,2.0,0.0,0.4,0.4
0071600,Batak,7,1,0.1428571428571428,7.0,1.0,0.0,1.0,0.0,0.14285714285714285,0.14285714285714285
0071631,Batak,6,1,0.1666666666666666,6.0,1.0,1.0,0.0,0.16666666666666666,0.0,0.16666666666666666
0071651,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0071800,Batak,9,0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
0071841,Batak,3,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0071851,Batak,1,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
0071852,Batak,3,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0072000,Batak,6,0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
0072021,Batak,3,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0072200,Batak,4,1,0.25,4.0,1.0,0.0,1.0,0.0,0.25,0.25
0072300,Batak,7,1,0.1428571428571428,7.0,1.0,0.0,1.0,0.0,0.14285714285714285,0.14285714285714285
0072331,Batak,3,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0072351,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0072400,Batak,4,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0072451,Batak,0,0,,,,0.0,0.0,,,
0072500,Batak,8,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
0072541,Batak,2,2,1.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0
0072600,Batak,4,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0072651,Batak,0,0,,,,0.0,0.0,,,
0072700,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0072800,Batak,6,0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
0072811,Batak,5,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0072851,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0072900,Batak,3,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0080100,Java,6,0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
0080141,Java,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0080142,Java,1,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
0080151,Java,5,1,0.2,5.0,1.0,1.0,0.0,0.2,0.0,0.2
0080200,Batak,9,0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
0080241,Java,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0080242,Java,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0080300,Java,7,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
0080331,Java,4,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0080400,Java,7,1,0.1428571428571428,7.0,1.0,1.0,0.0,0.14285714285714285,0.0,0.14285714285714285
0080431,Java,2,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0080441,Java,1,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
0080451,Java,1,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
0080500,Java,6,0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
0080551,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0080600,Java,2,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0080631,Java,3,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0080700,Java,7,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
0080741,Java,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0080742,Java,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0080800,Java,7,1,0.1428571428571428,7.0,1.0,0.0,1.0,0.0,0.14285714285714285,0.14285714285714285
0080831,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0080841,Java,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0080851,Java,4,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0080900,Java,9,0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
0080941,Java,2,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0080942,Java,2,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0080951,Java,1,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
0080952,Java,1,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
0081000,Java,6,1,0.1666666666666666,6.0,1.0,0.0,1.0,0.0,0.16666666666666666,0.16666666666666666
